2024-12-25 14:28:28,893 INFO [main]	register protocol:1 success
2024-12-25 14:28:29,028 INFO [main]	register protocol:29 success
2024-12-25 14:28:29,031 INFO [main]	register protocol:4 success
2024-12-25 14:28:29,037 INFO [main]	register protocol:3 success
2024-12-25 14:28:29,041 INFO [main]	register protocol:31 success
2024-12-25 14:28:29,043 INFO [main]	register protocol:28 success
2024-12-25 14:28:29,044 INFO [main]	register protocol:32 success
2024-12-25 14:28:29,045 INFO [main]	register protocol:33 success
2024-12-25 14:28:29,045 INFO [main]	register protocol:30 success
2024-12-25 14:28:29,047 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-12-25 14:28:29,048 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-12-25 14:28:29,048 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-12-25 14:28:29,048 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-12-25 14:28:29,066 INFO [main]	create thread:server-work-thread-1
2024-12-25 14:28:29,071 INFO [main]	create thread:server-work-thread-2
2024-12-25 14:28:29,074 INFO [main]	create thread:server-work-thread-3
2024-12-25 14:28:29,078 INFO [main]	create thread:server-work-thread-4
2024-12-25 14:28:29,079 INFO [main]	create thread:server-work-thread-5
2024-12-25 14:28:29,079 INFO [main]	create thread:server-work-thread-6
2024-12-25 14:28:29,080 INFO [main]	create thread:server-work-thread-7
2024-12-25 14:28:29,081 INFO [main]	create thread:server-work-thread-8
2024-12-25 14:28:29,087 INFO [main]	create thread:server-work-thread-9
2024-12-25 14:28:29,088 INFO [main]	create thread:server-work-thread-10
2024-12-25 14:28:29,090 INFO [main]	create thread:server-work-thread-11
2024-12-25 14:28:29,092 INFO [main]	create thread:server-work-thread-12
2024-12-25 14:28:29,093 INFO [main]	create thread:server-work-thread-13
2024-12-25 14:28:29,093 INFO [main]	create thread:server-work-thread-14
2024-12-25 14:28:29,093 INFO [main]	create thread:server-work-thread-15
2024-12-25 14:28:29,094 INFO [main]	create thread:server-work-thread-16
2024-12-25 14:28:29,094 INFO [main]	create thread:server-work-thread-17
2024-12-25 14:28:29,094 INFO [main]	create thread:server-work-thread-18
2024-12-25 14:28:29,095 INFO [main]	create thread:server-work-thread-19
2024-12-25 14:28:29,095 INFO [main]	create thread:server-work-thread-20
2024-12-25 14:28:29,130 INFO [main]	use jdk nio event mode
2024-12-25 14:28:29,189 INFO [main]	create thread:timeout-timer-thread-1
2024-12-25 14:28:29,200 WARN [main]	meta file not exist, name=./data/log/metadata
2024-12-25 14:28:29,202 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-12-25 14:28:29,471 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-12-25 14:28:29,475 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-12-25 14:28:29,479 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-12-25 14:28:29,480 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-12-25 14:28:29,484 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=getLeaderCommitIndex
2024-12-25 14:28:29,498 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
2024-12-25 14:28:29,506 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=addPeers
2024-12-25 14:28:29,508 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getLeader
2024-12-25 14:28:29,514 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=removePeers
2024-12-25 14:28:29,526 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=get
2024-12-25 14:28:29,529 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=set
2024-12-25 14:28:29,571 INFO [main]	create thread:server-acceptor-thread-1
