2024-12-25 11:36:07,157 INFO [main]	register protocol:1 success
2024-12-25 11:36:07,341 INFO [main]	register protocol:29 success
2024-12-25 11:36:07,347 INFO [main]	register protocol:4 success
2024-12-25 11:36:07,354 INFO [main]	register protocol:3 success
2024-12-25 11:36:07,358 INFO [main]	register protocol:31 success
2024-12-25 11:36:07,362 INFO [main]	register protocol:28 success
2024-12-25 11:36:07,365 INFO [main]	register protocol:32 success
2024-12-25 11:36:07,367 INFO [main]	register protocol:33 success
2024-12-25 11:36:07,367 INFO [main]	register protocol:30 success
2024-12-25 11:36:07,371 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-12-25 11:36:07,371 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-12-25 11:36:07,371 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-12-25 11:36:07,379 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-12-25 11:36:07,408 INFO [main]	create thread:server-work-thread-1
2024-12-25 11:36:07,413 INFO [main]	create thread:server-work-thread-2
2024-12-25 11:36:07,415 INFO [main]	create thread:server-work-thread-3
2024-12-25 11:36:07,416 INFO [main]	create thread:server-work-thread-4
2024-12-25 11:36:07,417 INFO [main]	create thread:server-work-thread-5
2024-12-25 11:36:07,417 INFO [main]	create thread:server-work-thread-6
2024-12-25 11:36:07,417 INFO [main]	create thread:server-work-thread-7
2024-12-25 11:36:07,417 INFO [main]	create thread:server-work-thread-8
2024-12-25 11:36:07,417 INFO [main]	create thread:server-work-thread-9
2024-12-25 11:36:07,418 INFO [main]	create thread:server-work-thread-10
2024-12-25 11:36:07,419 INFO [main]	create thread:server-work-thread-11
2024-12-25 11:36:07,420 INFO [main]	create thread:server-work-thread-12
2024-12-25 11:36:07,420 INFO [main]	create thread:server-work-thread-13
2024-12-25 11:36:07,421 INFO [main]	create thread:server-work-thread-14
2024-12-25 11:36:07,421 INFO [main]	create thread:server-work-thread-15
2024-12-25 11:36:07,421 INFO [main]	create thread:server-work-thread-16
2024-12-25 11:36:07,422 INFO [main]	create thread:server-work-thread-17
2024-12-25 11:36:07,422 INFO [main]	create thread:server-work-thread-18
2024-12-25 11:36:07,422 INFO [main]	create thread:server-work-thread-19
2024-12-25 11:36:07,424 INFO [main]	create thread:server-work-thread-20
2024-12-25 11:36:07,464 INFO [main]	use jdk nio event mode
2024-12-25 11:36:07,506 INFO [main]	create thread:timeout-timer-thread-1
2024-12-25 11:36:07,676 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-12-25 11:36:08,630 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-12-25 11:36:08,638 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-12-25 11:36:08,638 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-12-25 11:36:08,645 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-12-25 11:36:08,656 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=getLeaderCommitIndex
2024-12-25 11:36:08,705 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
2024-12-25 11:36:08,710 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=addPeers
2024-12-25 11:36:08,714 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getLeader
2024-12-25 11:36:08,717 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=removePeers
2024-12-25 11:36:08,721 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=get
2024-12-25 11:36:08,723 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=set
2024-12-25 11:36:08,815 INFO [main]	create thread:server-acceptor-thread-1
2024-12-25 11:36:08,829 INFO [main]	server started on port=8052 success
2024-12-25 11:36:08,851 INFO [main]	create thread:fairStrategy-timer-thread-1
2024-12-25 11:36:08,859 INFO [main]	create thread:client-work-thread-1
2024-12-25 11:36:08,866 INFO [main]	create thread:client-work-thread-2
2024-12-25 11:36:08,935 INFO [main]	create thread:client-io-thread-1
2024-12-25 11:36:08,949 INFO [main]	create thread:client-io-thread-2
2024-12-25 11:36:09,452 INFO [main]	create thread:fairStrategy-timer-thread-1
2024-12-25 11:36:09,464 INFO [main]	create thread:client-work-thread-1
2024-12-25 11:36:09,474 INFO [main]	create thread:client-work-thread-2
2024-12-25 11:36:09,475 INFO [main]	create thread:client-io-thread-1
2024-12-25 11:36:09,484 WARN [main]	init min idle object pool failed
2024-12-25 11:36:10,844 INFO [server-acceptor-thread-1]	create thread:server-io-thread-1
2024-12-25 11:36:10,849 INFO [server-acceptor-thread-1]	create thread:server-io-thread-2
2024-12-25 11:36:10,851 INFO [server-acceptor-thread-1]	create thread:server-io-thread-3
